word,zipf_frequency
brits,3.5400
bryum,1.0900
briza,1.0100
broad,4.5300
broch,2.0200
brock,3.7100
brogh,0.0000
broid,0.0000
broil,2.4400
broke,4.8500
broma,1.1200
brome,2.1300
bronc,2.0400
bronk,1.7200
bronx,3.6500
brose,1.7800
brosy,0.0000
broth,3.3900
browd,0.0000
brown,5.0100
brows,3.3400
bruce,4.3400
bruet,0.0000
brugh,1.4100
bruin,2.5200
bruit,1.7400
bruja,1.8200
brujo,1.7800
bruke,0.0000
brule,2.2100
brume,1.5300
brune,2.1200
bruno,3.8100
brunt,3.1200
brush,4.2300
brusk,0.0000
bruta,1.4200
brute,3.4200
btise,0.0000
buaze,0.0000
bucky,3.1200
bucko,2.1700
bucks,4.1900
budge,3.2300
budgy,0.0000
bueno,2.9300
bugan,0.0000
bught,0.0000
bugle,2.9200
bugre,0.0000
buhls,0.0000
buhrs,0.0000
buick,3.1700
buyer,4.0300
build,5.0400
built,5.0700
buist,1.6100
bukat,0.0000
bulak,1.0600
bulge,3.2400
bulgy,1.5600
bulky,3.3000
bulks,1.9900
bulse,0.0000
bumfs,0.0000
bumph,0.0000
bumpy,3.1800
bumps,3.6000
bunce,2.2600
bunch,4.5700
bunco,1.7600
bunda,1.7600
bundh,0.0000
bundy,3.2000
bunds,1.9300
bundt,2.1500
bunga,2.4400
bungy,1.6200
bungo,2.0900
bungs,1.5800
bunya,1.3700
bunko,1.7600
bunks,2.6300
bunty,2.1500
bunts,1.9200
buoys,2.7700
buran,1.6500
burao,0.0000
buras,1.3800
burds,1.0500
burel,0.0000
buret,1.1500
burez,0.0000
burga,1.1200
burge,2.3700
burgh,2.8600
burgs,1.5600
burin,1.8600
burys,0.0000
burka,2.5900
burke,3.8700
burly,2.8200
burls,1.6100
burma,3.5700
burny,1.5800
burns,4.2400
burnt,4.0300
burps,2.2600
bursa,2.6000
burse,1.6300
burst,4.1500
bused,2.1100
bushi,1.8400
bushy,2.9800
busky,0.0000
busti,1.1900
busty,3.0700
busto,1.5400
butch,3.3700
butea,1.1600
buteo,1.6300
butic,0.0000
butyl,2.5000
butin,1.4100
butyn,0.0000
butyr,0.0000
butle,0.0000
buxom,2.3800
caber,1.9100
cabin,4.1300
cabio,0.0000
cable,4.5400
cabot,3.0100
cabre,0.0000
cader,1.4300
cades,1.8000
cadet,3.3500
cadew,0.0000
cadge,1.4100
cadgy,0.0000
cadie,1.2100
cadis,0.0000
cados,0.0000
cadre,3.0400
cadus,0.0000
cafes,3.3300
cafiz,0.0000
cafoy,0.0000
caged,3.0600
cagey,2.3900
cager,1.5400
cages,3.4300
cagit,0.0000
cagot,0.0000
cagui,0.0000
cahiz,0.0000
cahot,0.0000
cahow,1.1200
cahuy,0.0000
caids,0.0000
cains,1.6600
cayos,0.0000
caird,2.1800
cairn,2.8700
cairo,3.8400
caite,0.0000
cajon,2.4500
cajou,0.0000
cajun,2.9900
caked,2.7000
cakey,2.1200
caker,0.0000
cakes,3.8500
caleb,3.5200
calef,1.3000
calfs,1.5900
calid,0.0000
calif,3.8300
calin,1.7000
calix,1.6000
calyx,2.4500
calks,1.2100
calmy,1.3500
calms,2.9800
calor,1.9400
calve,1.9600
camel,3.6400
cameo,3.4800
cames,1.5100
camis,1.3700
campe,1.7200
campi,1.8800
campy,2.5100
campo,2.8700
camps,4.1900
camus,2.8800
candy,4.2900
caned,2.1800
canel,1.4800
caner,1.8000
canes,3.1100
cangy,0.0000
canid,1.7400
canis,2.4800
canli,0.0000
canoe,3.5000
canos,1.0900
canso,1.8400
canst,2.3400
canty,1.9500
canto,2.8100
cants,1.6800
canzo,0.0000
caped,2.3600
capel,2.3500
caper,2.8600
capes,3.0000
caphs,0.0000
capon,2.1900
capos,1.8700
capot,0.0000
capri,3.0600
caput,2.0800
caque,0.0000
carby,1.7000
carbo,2.3100
cardo,1.9400
cards,4.7600
cared,4.1100
carey,3.7300
cares,4.4000
caret,1.9100
carex,2.1700
cargo,4.1900
carib,2.2200
carid,0.0000
caryl,2.3700
carks,0.0000
carle,2.5300
carli,2.4400
carlo,3.6900
carls,1.9300
carne,2.7600
carny,1.9700
carns,1.3600
carob,2.1100
carol,4.0200
carom,1.9700
carot,0.0000
carpe,2.6400
carpi,2.0200
carps,1.8500
carse,1.7000
carte,3.1600
carty,2.2100
carts,3.4500
carum,0.0000
carus,1.9000
carve,3.4100
carvy,0.0000
cased,2.5800
casey,3.9600
casel,0.0000
caser,0.0000
casky,0.0000
caste,3.6000
catel,1.1300
cater,3.5500
cates,2.5800
cathy,3.5400
catso,0.0000
catur,1.1100
cauld,1.2900
cauli,1.4200
caulk,2.2900
cauls,0.0000
caupo,0.0000
cause,5.3500
caved,2.9800
cavey,1.1600
cavel,0.0000
caver,1.7700
caves,3.6900
cavie,0.0000
cavil,2.0400
cavin,1.7000
cavum,1.0800
cavus,1.2100
cawed,0.0000
cawky,0.0000
cawny,0.0000
caxon,0.0000
cebid,0.0000
cebil,0.0000
cebur,0.0000
cebus,1.4600
cedar,3.7600
cedis,1.7200
cedry,0.0000
ceiba,1.8800
ceibo,0.0000
ceils,0.0000
ceint,0.0000
celia,3.2000
celom,0.0000
celts,2.8200
centi,1.5600
cento,2.2700
cents,4.3600
ceorl,0.0000
cequi,0.0000
ceral,0.0000
ceras,0.0000
cerat,0.0000
ceria,1.6900
ceryl,0.0000
cerin,0.0000
ceros,1.0300
certy,0.0000
cesar,3.2900
cesta,1.4600
cesti,0.0000
cetid,0.0000
cetyl,1.4700
